file,mean_grey,sd_grey,mean_area,sd_area,mean_perimeter,sd_perimeter,mean_major,sd_major,mean_minor,sd_minor,mean_ar,sd_ar,mean_turning,sd_turning,duration,N_frames,max_net,net_disp,net_speed,gross_disp,gross_speed,max_step,min_step,sd_step,sd_gross_speed,max_gross_speed,min_gross_speed,id,date,time,magnification,tube_id,measure_point,community
sample_0301,176.135311320755,9.63611834255268,3315.11885283019,642.418625467807,214.747836981132,20.930449472567,75.6205735849057,6.32400626006349,55.2152905660378,8.6336505309127,1.41710377358491,0.341098336030487,0.0,0.14,7.06666666666667,106,1980.9,1981,280.32,2057.61,291.17,23.33,12.16,2.13,31.94,349.89,182.4,sample_0301-1,2019-04-03,18,1,301,7,Ble
sample_0301,220.890992,5.19536271281202,7715.3312768,2027.14185481948,345.7496576,43.8241628348947,113.75616768,18.3635602086824,85.08488192,15.7331452829593,1.383048,0.350340476237506,0.0,0.3,8.33333333333333,125,769.26,769,92.31,1533.37,184.0,41.81,2.56,6.07,91.0,627.14,38.46,sample_0301-102,2019-04-03,18,1,301,7,Ble
sample_0301,211.184413333333,26.3388402913723,19307.7971626667,10970.2339765851,602.245482666667,255.882437346397,194.864648533333,77.1212415778038,109.8514944,47.9247935366487,1.83884,0.369041894640703,0.06,0.64,5.06666666666667,75,1055.53,892,176.02,1701.11,335.75,129.53,2.32,16.76,232.84,1942.94,34.77,sample_0301-105,2019-04-03,18,1,301,7,Ble
sample_0301,215.135358974359,3.93854614164307,22315.3834666667,4961.80541134224,612.847474871795,92.254315310612,230.898445128205,41.1771887751,120.829710769231,15.1406312675305,1.90138461538462,0.212331991216414,-0.01,0.07,2.6,39,1364.31,1364,524.74,1380.23,530.86,44.7,19.56,7.33,109.97,670.51,293.42,sample_0301-11,2019-04-03,18,1,301,7,Ble
sample_0301,226.71552,4.6727232100333,12133.111808,3352.61275864718,462.0199296,72.892112147112,160.971485866667,31.3679462398323,94.2763989333334,16.8235391841175,1.74144666666667,0.399206251660283,0.0,0.24,10.0,150,1700.42,1700,170.04,2385.04,238.5,32.78,1.84,6.02,90.35,491.74,27.59,sample_0301-112,2019-04-03,18,1,301,7,Ble
sample_0301,215.303084210526,5.5644922225627,10222.96064,1833.41647659882,399.193728,37.2177237426501,138.375808,15.1519209890339,93.73024,13.1412278851715,1.51306315789474,0.315579062842919,-0.01,0.31,6.33333333333333,95,1631.47,1631,257.6,2207.0,348.47,66.4,2.18,10.47,157.11,996.04,32.67,sample_0301-12,2019-04-03,18,1,301,7,Ble
sample_0301,153.646566666667,4.15577413580383,3171.71712,950.893913932599,297.135882666667,77.0298811782293,111.36432,28.1764392986647,34.8653546666667,6.70220766490633,3.1421,0.562916748300529,0.0,0.34,2.13333333333333,30,1031.2,1031,483.38,1044.54,489.63,124.18,7.53,20.18,165.79,744.84,112.99,sample_0301-120,2019-04-03,18,1,301,7,Ble
sample_0301,226.007690909091,4.31969062623671,27278.5147345455,2628.18764771485,751.561181090909,36.8869412497488,302.867682909091,27.41639944758,114.634309818182,2.49203399304106,2.64223636363636,0.237539311649934,0.0,0.08,3.66666666666667,55,1704.2,1704,464.78,1745.51,476.05,42.12,18.87,4.46,66.84,631.86,283.01,sample_0301-125,2019-04-03,18,1,301,7,Ble
sample_0301,210.558323529412,33.8103690726906,20340.2179764706,13795.452554156,642.836254117647,295.863388554633,219.541468235294,88.9551313251494,100.481656470588,44.9192851933198,2.26873529411765,0.319201874835339,0.0,0.55,2.33333333333333,34,922.06,922,395.17,1031.77,442.19,75.59,5.41,13.38,162.64,854.23,81.2,sample_0301-127,2019-04-03,18,1,301,7,Ble
sample_0301,222.698828947368,15.8838925224167,28794.88,9005.83221881661,758.8576,191.428349319472,300.41176,77.9428032091893,115.78464,26.0880327596842,2.58393421052632,0.32185973489607,0.0,0.12,5.33333333333333,76,3641.77,3642,682.83,3740.94,701.43,341.06,20.76,35.77,251.48,2557.99,311.35,sample_0301-128,2019-04-03,18,1,301,7,Ble
sample_0301,210.87791509434,4.95420298932018,5653.76676226415,553.281942724763,305.328422641509,13.5203867711226,108.030988679245,5.80784013786226,66.5941826415094,5.56206444420266,1.63660377358491,0.191738397140493,0.01,0.17,7.06666666666667,106,2202.86,2203,311.73,2410.34,341.09,37.79,6.25,5.81,87.16,566.88,93.72,sample_0301-13,2019-04-03,18,1,301,7,Ble
sample_0301,230.981013986014,5.77129073852075,19901.107020979,5655.16564289261,641.861263216783,154.597676985292,209.940359160839,51.6538089791217,119.292363636364,26.8498053427979,1.84633566433567,0.598717278432605,0.05,0.38,9.53333333333333,143,1368.6,1150,120.65,2693.94,282.58,53.82,6.85,8.78,131.73,807.24,102.68,sample_0301-151,2019-04-03,18,1,301,7,Ble
sample_0301,215.54034375,6.43081017932422,26606.5664,7645.73656703463,757.623195,122.85027361993,281.952495,48.3832639570093,117.150295,28.4621692483577,2.503,0.532282267879001,0.01,0.35,4.26666666666667,64,1710.5,1710,400.9,1888.2,442.55,46.96,11.48,10.09,151.41,704.33,172.19,sample_0301-152,2019-04-03,18,1,301,7,Ble
sample_0301,223.742443661972,6.6630673718467,23819.8985915493,6992.09898035778,676.53709971831,132.406385612198,247.249965070422,50.2194531747,119.430296338028,23.9707448413816,2.13061971830986,0.487002187834868,-0.02,0.32,9.46666666666667,142,1668.43,1668,176.24,3711.07,392.01,81.67,5.44,9.51,142.7,1225.05,81.55,sample_0301-153,2019-04-03,18,1,301,7,Ble
sample_0301,160.081846153846,3.47896991754449,3642.20596043956,831.490046045036,296.991163076923,44.4055806235348,115.505033846154,20.137755624482,39.7994795604396,4.84231195238893,2.91615384615385,0.491323087253567,0.01,0.27,6.06666666666667,91,2311.22,2311,380.97,2362.92,389.49,45.97,4.69,9.1,136.49,689.55,70.35,sample_0301-162,2019-04-03,18,1,301,7,Ble
sample_0301,233.4886,2.73223641628662,29770.2741333333,6897.43641705423,785.187616,133.102155886537,274.083562666667,44.7738025053277,136.125525333333,17.5231963692464,2.01056666666667,0.2414694502464,0.02,0.56,2.26666666666667,30,918.47,881,388.48,1001.92,442.02,101.03,10.55,17.37,116.64,744.64,158.26,sample_0301-163,2019-04-03,18,1,301,7,Ble
sample_0301,128.209666666667,11.2198304128339,1246.07573333333,508.435308509106,163.310573333333,36.1728869806615,57.46588,12.6243178208078,26.54452,6.95282639162946,2.21470833333333,0.414305440693706,0.04,0.4,1.66666666666667,24,559.31,556,333.37,567.09,340.25,47.62,5.47,8.9,118.35,714.29,82.11,sample_0301-166,2019-04-03,18,1,301,7,Ble
