file,mean_grey,sd_grey,mean_area,sd_area,mean_perimeter,sd_perimeter,mean_major,sd_major,mean_minor,sd_minor,mean_ar,sd_ar,mean_turning,sd_turning,duration,N_frames,max_net,net_disp,net_speed,gross_disp,gross_speed,max_step,min_step,sd_step,sd_gross_speed,max_gross_speed,min_gross_speed,id,date,time,magnification,tube_id,measure_point,community
sample_0301,219.212472972973,10.0411626165022,22680.8845837838,5851.22018453411,665.807818378379,99.5480594117469,246.227347027027,43.8831976345577,115.365370810811,20.2918206457539,2.17472972972973,0.416558381091367,0.01,0.14,4.93333333333333,74,1549.36,1549,314.06,1742.18,353.14,49.36,8.74,8.92,133.73,740.39,131.03,sample_0301-1,2019-04-08,18,1,301,9,Ble
sample_0301,232.070833333333,2.13755409551103,27396.2097777778,4437.81055312937,768.89808,111.127014325864,304.353720888889,40.9092847054459,113.236757333333,12.7983688024173,2.69132222222222,0.248841352274392,-0.01,0.3,6.0,90,2920.14,2869,478.09,3063.39,510.56,81.08,22.08,7.12,106.76,1216.17,331.16,sample_0301-100,2019-04-08,18,1,301,9,Ble
sample_0301,225.885338235294,7.10350797138739,31338.2656,6510.46729488659,759.37832,116.517902180418,279.811882352941,45.3294715125631,140.430564705882,18.3201747742535,1.99856617647059,0.251620251855432,0.0,0.09,9.2,136,4293.61,4294,466.7,4381.16,476.21,65.71,8.84,7.91,121.16,985.59,132.61,sample_0301-107,2019-04-08,18,1,301,9,Ble
sample_0301,224.877846153846,3.96396242075893,19904.6291692308,5137.81932062344,607.140498461539,108.824697196017,230.657369230769,45.8613186686081,107.143396923077,16.5143916538298,2.14281730769231,0.260660801959401,0.02,0.2,6.93333333333333,104,2341.77,2342,337.76,2468.42,356.02,37.92,2.62,8.1,121.46,568.75,39.25,sample_0301-108,2019-04-08,18,1,301,9,Ble
sample_0301,214.035264285714,6.78387051573472,5461.7856,1956.21937347435,301.188434285714,62.1032785822298,102.978523428571,22.5895569329822,64.9477325714286,17.4131668855381,1.68872857142857,0.497601641297941,-0.08,0.44,9.33333333333333,140,947.92,948,101.56,1651.05,176.9,44.84,1.87,5.58,83.77,672.55,28.04,sample_0301-115,2019-04-08,18,1,301,9,Ble
sample_0301,214.234121212121,9.12383380221625,23673.4319191919,4486.91576021841,698.310354747475,89.9858682300793,268.246774949495,33.6677458200639,110.404447676768,17.0965891760306,2.47480808080808,0.314090318375622,0.0,0.06,6.6,99,3012.28,3012,456.41,3035.77,459.97,36.8,9.69,4.81,72.11,552.07,145.28,sample_0301-12,2019-04-08,18,1,301,9,Ble
sample_0301,216.760971223021,7.63169793721967,11701.8601899281,1990.31439167184,452.853271942446,49.7653385602845,165.401194820144,22.6142278755715,89.5623804316547,10.3202151080147,1.85879136690647,0.26867432132495,-0.01,0.11,9.26666666666667,139,3080.17,3080,332.39,3469.24,374.38,50.88,10.48,6.76,101.45,763.26,157.13,sample_0301-124,2019-04-08,18,1,301,9,Ble
sample_0301,215.720838709677,23.7320597183034,13943.4875870968,6659.60011802769,460.666498064516,145.291238232758,162.962043870968,52.4563623514294,100.505538064516,40.3212526648517,1.77364516129032,0.545430383482444,0.02,0.48,2.2,31,563.42,560,254.73,775.13,352.33,470.86,2.96,84.12,404.2,2354.28,44.4,sample_0301-128,2019-04-08,18,1,301,9,Ble
sample_0301,228.668675675676,2.54444078474455,11921.664,1851.10557262592,454.921292972973,40.9822804159914,167.669145945946,19.9767424904977,90.2271178378378,5.82981392589879,1.86016216216216,0.212852964043516,0.0,0.09,4.93333333333333,74,1516.5,1516,307.4,1535.07,311.16,29.84,9.32,4.34,65.04,447.54,139.79,sample_0301-13,2019-04-08,18,1,301,9,Ble
sample_0301,224.843436090226,4.19106822889985,15547.2896,2685.4459970061,512.657645714285,56.9051616626203,182.531017142857,20.4731138047658,107.134308571429,13.661421759203,1.72311278195489,0.184035267294373,0.0,0.08,8.86666666666667,133,2432.33,2432,274.32,2507.11,282.76,26.17,8.35,2.85,42.7,392.61,125.2,sample_0301-130,2019-04-08,18,1,301,9,Ble
