file,mean_grey,sd_grey,mean_area,sd_area,mean_perimeter,sd_perimeter,mean_major,sd_major,mean_minor,sd_minor,mean_ar,sd_ar,mean_turning,sd_turning,duration,N_frames,max_net,net_disp,net_speed,gross_disp,gross_speed,max_step,min_step,sd_step,sd_gross_speed,max_gross_speed,min_gross_speed,id,date,time,magnification,tube_id,measure_point,community
sample_0301,217.844594594595,3.30833767768035,10103.3167567568,1608.02443845216,418.485331891892,45.7842542729466,156.561314594595,19.2715290280264,81.5043718918919,8.09750139629109,1.92281081081081,0.184085870051882,-0.02,0.18,4.93333333333333,74,1314.66,1315,266.48,1353.7,274.4,24.83,5.12,3.72,55.78,372.4,76.79,sample_0301-103,2019-03-29,18,1,301,5,Ble
sample_0301,224.485160493827,2.95561842283806,13788.4672,2192.92866859626,509.912185679013,41.8095019904362,207.240102716049,16.0056254357834,83.9621728395062,11.2026976412609,2.5568024691358,0.725982376159248,0.0,0.12,5.4,81,1946.13,1946,360.39,1964.37,363.77,67.57,5.56,7.47,112.05,1013.6,83.46,sample_0301-109,2019-03-29,18,1,301,5,Ble
sample_0301,231.209213235294,3.05542236737947,7849.65195294118,1671.11255344458,360.184296470588,35.4560221757841,115.637576470588,14.7539976503565,85.4743835294118,13.4479297466255,1.39125,0.328832857464318,0.0,0.26,9.06666666666667,136,1196.44,1186,130.83,1471.61,162.31,24.86,3.53,3.15,47.19,372.9,52.99,sample_0301-11,2019-03-29,18,1,301,5,Ble
sample_0301,223.04514893617,7.22294643293082,30420.9876425532,2821.55286822117,923.684337021277,79.4245618644964,276.388650212766,14.3568588489446,140.207128510638,11.5900802308089,1.98746808510638,0.222582847405852,0.0,0.12,3.13333333333333,47,1197.13,1197,382.06,1206.62,385.09,42.01,15.44,4.04,60.65,630.1,231.63,sample_0301-117,2019-03-29,18,1,301,5,Ble
sample_0301,234.763258278146,1.86841415631394,26997.9573403974,2223.42325106661,759.196513907285,57.2828074166645,280.815470198675,18.5890715175872,122.638592847682,9.15798951578241,2.31175496688742,0.325820952198953,0.0,0.06,10.0666666666667,151,3975.05,3975,394.87,4065.49,403.86,46.08,14.57,4.36,65.41,691.14,218.52,sample_0301-12,2019-03-29,18,1,301,5,Ble
sample_0301,231.131288590604,2.70255259792129,14393.5749154362,2649.8619801331,493.77177557047,36.940339959713,167.800410201342,18.3751157331331,108.833305771812,15.4359461361051,1.57637583892618,0.313852704230565,-0.02,0.14,9.93333333333333,149,2012.92,1826,183.83,2384.79,240.08,51.98,5.51,5.37,80.61,779.7,82.72,sample_0301-124,2019-03-29,18,1,301,5,Ble
sample_0301,220.778907284768,5.95583118895647,3023.9004821192,758.535393813869,218.756628344371,25.7158645829576,74.5195401324503,10.1315049741809,51.4467856953642,11.0408242438015,1.54023178807947,0.485934487267692,0.0,0.6,10.0666666666667,151,727.26,709,70.42,1367.31,135.83,32.03,0.54,5.14,77.18,480.48,8.03,sample_0301-126,2019-03-29,18,1,301,5,Ble
sample_0301,235.864529801325,2.13875336526662,26788.1546596026,4453.94015988693,721.848402649007,60.9676198390775,244.134548344371,29.8489462496454,139.302987019868,13.4861072584605,1.76697350993377,0.264115200799951,0.0,0.11,10.0666666666667,151,3385.73,3386,336.33,3468.52,344.55,48.07,8.96,5.68,85.26,721.05,134.44,sample_0301-133,2019-03-29,18,1,301,5,Ble
sample_0301,216.894940397351,5.99834415732852,3476.06565298013,979.653002879382,222.046512317881,34.4100829972279,77.860721589404,12.8016526491488,55.7072953642384,10.8307768166199,1.43285430463576,0.261697418083073,0.16,0.3,10.0666666666667,151,821.18,821,81.57,1679.75,166.86,26.24,5.01,3.41,51.13,393.59,75.14,sample_0301-15,2019-03-29,18,1,301,5,Ble
sample_0301,153.40108,9.64144990790631,375.578624,179.417200862128,79.4184192,26.2340744055795,29.3836672,8.49008735602267,15.6577024,3.59342338980681,1.89864,0.437799885792584,0.02,0.42,2.0,25,633.12,633,316.56,644.27,322.13,72.03,1.73,17.37,106.98,542.31,26.0,sample_0301-162,2019-03-29,18,1,301,5,Ble
sample_0301,156.598716981132,10.6067154714095,1473.77364528302,726.746122159287,182.633334339623,67.2774622911651,66.2488271698113,23.5946007823247,26.2353147169811,7.47360161918052,2.49920754716981,0.576818274225433,-0.05,0.99,3.8,53,972.07,885,232.78,1487.76,391.52,347.65,2.09,48.26,356.05,2607.38,15.7,sample_0301-179,2019-03-29,18,1,301,5,Ble
sample_0301,216.420920529802,4.94054489508081,2722.04901721854,619.000257062394,200.869872317881,19.689390113525,71.1778754966888,9.35786854732442,48.1453054304636,6.69539190280835,1.49309933774835,0.19009466957166,0.0,0.29,10.0666666666667,151,667.16,667,66.27,882.86,87.7,16.95,1.34,2.02,30.35,254.27,20.11,sample_0301-19,2019-03-29,18,1,301,5,Ble
sample_0301,232.480838028169,2.79565767047013,23136.2805183099,2417.31422923934,670.661636056338,86.1461009580719,246.129917746479,16.619447194358,119.669343098592,9.56924820025828,2.06745070422535,0.187842682687447,0.0,0.12,9.46666666666667,142,3670.91,3671,387.77,3710.8,391.99,60.93,10.71,5.62,84.3,913.9,160.66,sample_0301-199,2019-03-29,18,1,301,5,Ble
sample_0301,236.314033333333,1.81979629517383,32043.214848,2155.18693015422,824.040477866667,57.096355497133,295.432874666667,12.0821037112544,138.036631466667,6.25696874384272,2.14384666666667,0.116280598869193,0.0,0.05,10.0666666666667,150,4359.34,4359,433.05,4402.31,437.32,62.87,18.76,4.72,57.67,831.64,281.4,sample_0301-2,2019-03-29,18,1,301,5,Ble
sample_0301,223.766506666667,4.46634797416259,4400.97314133333,1013.49491498964,253.880695466667,37.9375567603203,87.1416405333333,10.9689719662249,63.0305493333333,12.3069393260846,1.45117333333333,0.406819183333244,0.01,0.3,5.0,75,809.5,809,161.9,950.13,190.03,37.7,5.68,3.79,56.88,565.44,85.22,sample_0301-20,2019-03-29,18,1,301,5,Ble
sample_0301,164.323912408759,11.2033332989328,3312.67512992701,1019.50978665867,265.948430948905,52.6219382804882,95.4808525547445,21.2169410346631,42.938025109489,7.79847039666114,2.2289197080292,0.385566276792868,0.01,0.37,9.2,137,3030.06,3030,329.35,3177.16,345.34,58.78,4.73,8.2,114.34,729.8,70.94,sample_0301-208,2019-03-29,18,1,301,5,Ble
sample_0301,227.177652631579,5.34051661332501,17187.04128,4669.50822141369,638.336704,120.96308396532,219.25312,59.7086621056433,101.804992,28.41186520124,2.39307368421053,1.090749490928,0.07,0.37,6.33333333333333,95,588.31,325,51.27,1230.41,194.28,39.87,5.62,4.65,69.8,598.09,84.34,sample_0301-209,2019-03-29,18,1,301,5,Ble
sample_0301,231.659047619048,15.1913832870386,20786.5587809524,6830.95457342664,656.308881269841,159.946008028605,248.571824761905,65.3422100020182,100.677031111111,25.0200530960549,2.44757936507937,0.398094428057959,0.02,0.31,8.53333333333333,126,3232.31,3099,363.21,3553.77,416.46,90.96,4.06,9.74,147.29,1364.33,60.93,sample_0301-25,2019-03-29,18,1,301,5,Ble
sample_0301,229.620348837209,4.38158454437997,22003.318275969,7348.13447513413,726.992245581395,162.550379285052,241.643142945736,54.6917473209032,114.121788527132,29.31755264175,2.24969767441861,0.734091536831528,0.03,0.35,8.6,129,2030.89,2031,236.15,2325.39,270.39,61.81,3.31,9.43,141.44,927.16,49.59,sample_0301-254,2019-03-29,18,1,301,5,Ble
sample_0301,234.351804878049,2.22311422580479,29995.0779317073,4036.12298415041,917.191281951219,130.436884395567,299.314544390244,33.6692151753484,127.399726829268,6.80161352586224,2.35295121951219,0.266137272025125,0.0,0.06,2.86666666666667,41,1264.9,1265,441.24,1274.07,444.44,70.61,15.79,10.91,134.82,989.13,236.86,sample_0301-265,2019-03-29,18,1,301,5,Ble
sample_0301,171.90396,16.5238062616739,7371.10016,2911.67604284334,420.0214784,134.408127190951,156.7409408,51.4652417777813,56.5919104,11.2728996620466,2.68292,0.575503686637482,0.02,0.43,1.86666666666667,25,804.79,699,374.59,991.77,531.31,181.82,8.68,44.18,516.75,2727.35,130.2,sample_0301-266,2019-03-29,18,1,301,5,Ble
sample_0301,233.04276744186,3.65034240155895,18238.1901395349,3361.75845753995,586.523601860465,98.1675117658487,203.490011782946,35.0975501013776,113.549702945736,15.3372016075137,1.81604651162791,0.374978808994278,-0.01,0.35,8.6,129,1973.71,1974,229.5,2296.88,267.08,71.7,1.12,7.28,109.21,1075.55,16.78,sample_0301-276,2019-03-29,18,1,301,5,Ble
sample_0301,231.670987341772,10.0698245961523,12664.5014683544,2255.35063171419,445.352457721519,47.1582521363839,153.421796455696,17.3689704251859,103.85609721519,15.0359535506171,1.50083544303797,0.192341471879075,-0.01,0.14,5.26666666666667,79,1280.16,1280,243.07,1327.15,251.99,120.25,10.86,12.02,180.3,1803.81,162.9,sample_0301-28,2019-03-29,18,1,301,5,Ble
sample_0301,221.658809917355,14.7646733445715,15767.8498909091,3593.1993664302,582.964268429752,105.032390146461,212.815124628099,40.7204231858931,92.1850604958678,15.5344997660838,2.32561157024793,0.347236263752814,-0.03,0.28,8.2,121,1897.13,1897,231.36,2421.63,295.32,193.5,2.43,17.19,114.78,967.5,36.4,sample_0301-306,2019-03-29,18,1,301,5,Ble
