file,mean_grey,sd_grey,mean_area,sd_area,mean_perimeter,sd_perimeter,mean_major,sd_major,mean_minor,sd_minor,mean_ar,sd_ar,mean_turning,sd_turning,duration,N_frames,max_net,net_disp,net_speed,gross_disp,gross_speed,max_step,min_step,sd_step,sd_gross_speed,max_gross_speed,min_gross_speed,id,date,time,magnification,tube_id,measure_point,community
sample_0301,230.352304635762,5.40480494497674,23548.0864211921,7554.41644194558,745.519533774834,190.272259187122,252.74926410596,61.6023571692958,116.397613774834,22.5974411340721,2.22250993377483,0.612110282738328,0.03,0.59,10.0666666666667,151,1756.66,1757,174.5,3597.78,357.4,86.17,2.17,13.53,202.94,1292.58,32.51,sample_0301-1,2019-03-22,18,1,301,2,Ble
sample_0301,233.087139072848,6.1877530483364,27460.1597456954,3999.56880774293,810.927086622516,131.572124852466,259.170629933775,28.4261548369496,134.711701192053,10.4994117802991,1.93272185430464,0.238441527673359,0.0,0.31,10.0666666666667,151,3346.31,3346,332.42,3502.81,347.96,54.29,3.18,5.47,81.99,814.34,47.76,sample_0301-102,2019-03-22,18,1,301,2,Ble
sample_0301,226.627758389262,6.17227559185187,21553.8921664429,6091.92131840751,688.490018791947,132.905595890038,218.257310067114,46.8123607048552,125.012593825503,23.4770513776444,1.79807382550336,0.481915394250559,-0.04,0.33,10.0666666666667,149,1652.63,1653,164.17,2817.38,279.87,75.08,6.36,10.07,134.26,1056.17,95.42,sample_0301-107,2019-03-22,18,1,301,2,Ble
sample_0301,222.082873684211,5.70973197053627,15044.54656,5295.97633136948,523.168512,120.695955592504,167.13856,39.7391030223696,111.44704,24.8373794208306,1.54234736842105,0.402797947564471,0.13,0.43,6.33333333333333,95,504.83,450,71.12,1694.12,267.49,69.14,9.07,8.32,124.8,1037.13,136.0,sample_0301-109,2019-03-22,18,1,301,2,Ble
sample_0301,220.413642857143,5.29850875198346,19073.1535673469,5698.21512057133,600.969968979592,124.397631929,209.966223673469,47.2069848158225,113.123859591837,20.3016106807006,1.87467346938775,0.353371413948676,0.04,0.26,6.53333333333333,98,1433.24,1433,219.37,2147.39,328.68,179.97,4.45,18.29,274.41,2699.59,66.76,sample_0301-110,2019-03-22,18,1,301,2,Ble
sample_0301,226.861300970874,7.38648634774283,20399.7104466019,9820.57123119121,599.036722330097,207.889446427794,220.967446990291,84.8122050934575,106.324737864078,31.7669014297496,2.02394174757282,0.384857978012738,0.07,0.22,6.86666666666667,103,1963.39,1963,285.93,2394.46,348.71,68.28,4.14,10.07,151.12,1024.15,62.11,sample_0301-115,2019-03-22,18,1,301,2,Ble
sample_0301,235.540486486486,2.9742031152979,21704.7718054054,6097.11751494839,642.055641081081,115.787793142745,237.890845405405,48.3415418144085,111.878737297297,22.7272446213251,2.14951351351351,0.206809835438408,0.0,0.25,4.93333333333333,74,1763.86,1764,357.54,1790.23,362.88,33.82,3.86,5.75,86.3,507.23,57.84,sample_0301-118,2019-03-22,18,1,301,2,Ble
sample_0301,225.496721518987,5.58687711020486,12633.6181468354,3265.88508492387,439.816271392405,68.209910157454,150.618377721519,24.8030542309692,104.571613164557,19.4481289473409,1.48653164556962,0.387681300364598,-0.01,0.17,5.4,79,1369.33,1369,253.58,1516.29,280.79,118.78,5.5,12.23,75.91,593.9,82.47,sample_0301-121,2019-03-22,18,1,301,2,Ble
sample_0301,230.653109243697,4.32030367103964,15157.4665680672,3268.06680802164,530.971560336134,73.7679335408823,190.320707226891,29.3142924204864,100.498772436975,13.2943710918189,1.91224369747899,0.32765220208626,-0.01,0.19,7.93333333333333,119,2072.69,2073,261.26,2221.34,280.0,43.98,3.82,7.25,108.81,659.75,57.24,sample_0301-137,2019-03-22,18,1,301,2,Ble
sample_0301,221.204602649007,3.46766849065184,12037.0921960265,1730.11567746708,465.281985695364,35.3359792941382,176.742821721854,15.0915970058663,86.3133711258278,9.16236591560139,2.07570198675497,0.334855009314021,0.02,0.16,10.0666666666667,151,2388.91,1596,158.59,3318.81,329.68,51.41,5.75,7.03,105.49,771.19,86.3,sample_0301-139,2019-03-22,18,1,301,2,Ble
